,41
23957,normal.
36479,normal.
484393,normal.
107512,normal.
14196,normal.
896,normal.
343496,normal.
36144,normal.
91560,normal.
32643,normal.
13691,normal.
492433,normal.
7301,normal.
455013,normal.
5497,normal.
34491,normal.
88146,normal.
137384,normal.
482849,normal.
90854,normal.
138375,normal.
455144,normal.
18037,normal.
457607,normal.
27029,normal.
31351,normal.
450147,normal.
18603,normal.
53019,normal.
33391,normal.
345244,normal.
29465,normal.
22699,normal.
23743,normal.
82787,normal.
34340,normal.
13421,normal.
6518,normal.
371905,normal.
20435,normal.
41529,normal.
6488,normal.
24909,normal.
492624,normal.
37308,normal.
3245,normal.
396736,normal.
344038,normal.
42120,normal.
481809,normal.
371545,normal.
347436,normal.
18677,normal.
41319,normal.
148163,normal.
451922,normal.
29822,normal.
5990,normal.
83985,normal.
36804,normal.
104517,normal.
481712,normal.
458349,normal.
137988,normal.
371569,normal.
85556,normal.
104122,normal.
147395,normal.
84388,normal.
76826,normal.
137727,normal.
139292,normal.
34098,normal.
139574,normal.
82012,normal.
138560,normal.
458547,normal.
75139,normal.
77452,normal.
137671,normal.
34693,normal.
451636,normal.
491219,normal.
138525,normal.
15848,normal.
346633,normal.
146580,normal.
149035,normal.
452217,normal.
79135,normal.
29588,normal.
14744,normal.
75050,normal.
19092,normal.
52688,normal.
107485,normal.
90487,normal.
484862,normal.
24697,normal.
5079,normal.
493129,normal.
17082,normal.
347341,normal.
144333,normal.
12389,normal.
456389,normal.
137308,normal.
28044,normal.
107726,normal.
146495,normal.
139276,normal.
4840,normal.
141362,normal.
31888,normal.
36907,normal.
3254,normal.
146021,normal.
139742,normal.
344866,normal.
452135,normal.
33234,normal.
348846,normal.
5189,normal.
136772,normal.
78545,normal.
482934,normal.
145614,normal.
346558,normal.
137079,normal.
41685,normal.
484548,normal.
456926,normal.
37045,normal.
37644,normal.
138584,normal.
88710,normal.
78851,normal.
38657,normal.
106064,normal.
83198,normal.
396718,normal.
491849,normal.
493061,normal.
483353,normal.
81155,normal.
482450,normal.
20331,normal.
342995,normal.
25836,normal.
493482,normal.
371927,normal.
348833,normal.
344207,normal.
6310,normal.
11847,normal.
16814,normal.
144965,normal.
144942,normal.
23526,normal.
147338,normal.
74378,normal.
25648,normal.
147583,normal.
145090,normal.
345997,normal.
26200,normal.
3433,normal.
25620,normal.
481813,normal.
29595,normal.
149467,normal.
458200,normal.
104611,normal.
84353,normal.
453382,normal.
40736,normal.
27400,normal.
371723,normal.
37590,normal.
147318,normal.
149351,normal.
40814,normal.
454493,normal.
347298,normal.
91087,normal.
21407,normal.
343704,normal.
105287,normal.
137572,normal.
27262,normal.
81478,normal.
14654,normal.
458363,normal.
18765,normal.
40970,normal.
90204,normal.
442,normal.
343063,normal.
453451,normal.
453564,normal.
21543,normal.
85305,normal.
79608,normal.
19587,normal.
458479,normal.
75765,normal.
35088,normal.
78104,normal.
138079,normal.
459445,normal.
481521,normal.
39374,normal.
33820,normal.
136890,normal.
82378,normal.
79764,normal.
80617,normal.
146916,normal.
343701,normal.
457076,normal.
31774,normal.
28844,normal.
493658,normal.
7112,normal.
33960,normal.
454354,normal.
147894,normal.
18000,normal.
108116,normal.
481306,normal.
26468,normal.
107302,normal.
345125,normal.
11785,normal.
19966,normal.
456513,normal.
106830,normal.
456584,normal.
25420,normal.
371650,normal.
91286,normal.
451751,normal.
36624,normal.
485042,normal.
38148,normal.
149429,normal.
347877,normal.
146676,normal.
105129,normal.
85222,normal.
14356,normal.
89614,normal.
456824,normal.
491098,normal.
26278,normal.
452971,normal.
89445,normal.
481275,normal.
491514,normal.
23613,normal.
20810,normal.
2815,normal.
76334,normal.
138147,normal.
21839,normal.
6557,normal.
452271,normal.
168,normal.
493703,normal.
33149,normal.
23058,normal.
454825,normal.
20884,normal.
26079,normal.
20786,normal.
89735,normal.
76000,normal.
88854,normal.
80130,normal.
345806,normal.
6119,normal.
32824,normal.
486455,normal.
34399,normal.
482079,normal.
493535,normal.
107088,normal.
81824,normal.
84809,normal.
11550,normal.
33504,normal.
456786,normal.
343506,normal.
148615,normal.
13561,normal.
145208,normal.
40842,normal.
14237,normal.
77464,normal.
138935,normal.
84751,normal.
29250,normal.
484667,normal.
452960,normal.
484132,normal.
86843,normal.
139124,normal.
34550,normal.
345893,normal.
29836,normal.
105192,normal.
143874,normal.
12949,normal.
22145,normal.
343074,normal.
34695,normal.
103975,normal.
22530,normal.
11686,normal.
31467,normal.
396860,normal.
87106,normal.
481569,normal.
90330,normal.
34362,normal.
457210,normal.
482071,normal.
22872,normal.
30445,normal.
31812,normal.
103884,normal.
35797,normal.
12106,normal.
481824,normal.
78268,normal.
456988,normal.
452667,normal.
37552,normal.
11722,normal.
371775,normal.
33702,normal.
4598,normal.
141659,normal.
107106,normal.
137117,normal.
31993,normal.
21513,normal.
483322,normal.
6157,normal.
1869,normal.
74122,normal.
348619,normal.
20195,normal.
33406,normal.
17391,normal.
27234,normal.
146335,normal.
41853,normal.
137784,normal.
36477,normal.
146340,normal.
75149,normal.
39174,normal.
90920,normal.
371839,normal.
143786,normal.
74070,normal.
484430,normal.
481440,normal.
348212,normal.
29494,normal.
15253,normal.
146582,normal.
145018,normal.
3319,normal.
15734,normal.
35602,normal.
31032,normal.
455595,normal.
43002,normal.
7067,normal.
13949,normal.
104067,normal.
106199,normal.
455298,normal.
34463,normal.
347000,normal.
482998,normal.
87038,normal.
36156,normal.
453957,normal.
42360,normal.
848,normal.
347391,normal.
17221,normal.
144100,normal.
491965,normal.
76950,normal.
7155,normal.
137608,normal.
146835,normal.
345250,normal.
26547,normal.
38207,normal.
146881,normal.
4376,normal.
32838,normal.
148960,normal.
486423,normal.
42092,normal.
36446,normal.
137686,normal.
451648,normal.
484439,normal.
106642,normal.
450306,normal.
27852,normal.
12016,normal.
104360,normal.
30021,normal.
86916,normal.
30739,normal.
449948,normal.
21949,normal.
53165,normal.
481219,normal.
484500,normal.
484030,normal.
28871,normal.
42273,normal.
12896,normal.
88683,normal.
137657,normal.
76511,normal.
141670,normal.
16466,normal.
346086,normal.
16031,normal.
454925,normal.
31930,normal.
2383,normal.
486535,normal.
14338,normal.
139090,normal.
83368,normal.
21158,normal.
84333,normal.
86069,normal.
16309,normal.
140253,normal.
88872,normal.
345501,normal.
33189,normal.
345189,normal.
82542,normal.
91314,normal.
31465,normal.
22611,normal.
37748,normal.
106177,normal.
26382,normal.
42252,normal.
459041,normal.
28364,normal.
82535,normal.
349199,normal.
27534,normal.
17846,normal.
371551,normal.
81453,normal.
343912,normal.
52726,normal.
107596,normal.
25434,normal.
344111,normal.
39575,normal.
106770,normal.
345387,normal.
20727,normal.
7764,normal.
17767,normal.
74961,normal.
146051,normal.
30073,normal.
136975,normal.
76236,normal.
33573,normal.
89694,normal.
33881,normal.
452067,normal.
482887,normal.
138624,normal.
17623,normal.
87057,normal.
91334,normal.
12683,normal.
451709,normal.
492198,normal.
343339,normal.
84323,normal.
453123,normal.
29349,normal.
82781,normal.
90264,normal.
39218,normal.
37199,normal.
491221,normal.
345153,normal.
37374,normal.
5823,normal.
491668,normal.
6558,normal.
90687,normal.
34080,normal.
19421,normal.
493945,normal.
6136,normal.
284,normal.
458112,normal.
347840,normal.
33193,normal.
42590,normal.
348977,normal.
89846,normal.
22736,normal.
484373,normal.
81015,normal.
482341,normal.
30417,normal.
103745,normal.
107810,normal.
26894,normal.
78225,normal.
91610,normal.
1490,normal.
19813,normal.
146383,normal.
76411,normal.
104100,normal.
38065,normal.
105364,normal.
107654,normal.
7190,normal.
140022,normal.
137095,normal.
23839,normal.
138714,normal.
453886,normal.
81223,normal.
13160,normal.
28792,normal.
37669,normal.
145523,normal.
103685,normal.
459770,normal.
5765,normal.
85173,normal.
76683,normal.
14920,normal.
481931,normal.
17569,normal.
28324,normal.
30806,normal.
348992,normal.
138670,normal.
18811,normal.
41092,normal.
105509,normal.
483364,normal.
451838,normal.
454840,normal.
39235,normal.
