,41
476224,neptune.
125578,neptune.
49383,smurf.
383665,neptune.
389051,neptune.
190553,smurf.
372966,neptune.
210292,smurf.
384518,neptune.
434958,smurf.
131947,smurf.
119668,neptune.
412862,smurf.
382504,neptune.
45976,smurf.
71064,neptune.
176905,smurf.
165235,smurf.
95640,smurf.
278576,smurf.
306099,smurf.
286790,smurf.
9314,smurf.
121382,neptune.
323725,smurf.
311144,smurf.
421616,smurf.
335431,smurf.
278040,smurf.
443422,smurf.
123558,neptune.
363713,neptune.
189240,smurf.
45216,smurf.
469055,neptune.
299592,smurf.
92748,smurf.
353157,neptune.
47871,smurf.
243046,smurf.
47233,smurf.
182953,smurf.
234213,smurf.
297138,smurf.
448907,smurf.
337752,smurf.
395503,neptune.
230445,smurf.
204626,smurf.
359427,neptune.
181561,smurf.
227953,smurf.
203188,smurf.
425370,smurf.
469532,neptune.
288266,smurf.
405129,smurf.
247505,smurf.
98960,smurf.
446493,smurf.
321536,smurf.
201759,smurf.
387700,neptune.
443464,smurf.
234695,smurf.
203031,smurf.
267212,smurf.
179146,smurf.
188667,smurf.
354380,neptune.
303106,smurf.
469578,neptune.
151805,smurf.
429578,smurf.
133775,smurf.
327597,smurf.
44818,smurf.
414901,smurf.
231827,smurf.
326042,smurf.
125768,neptune.
400014,smurf.
224220,smurf.
407084,smurf.
383787,neptune.
423145,smurf.
165289,smurf.
159905,smurf.
201290,smurf.
118657,neptune.
259251,smurf.
281177,smurf.
318058,smurf.
210737,smurf.
360511,neptune.
473621,neptune.
366464,neptune.
151993,smurf.
45669,smurf.
55073,neptune.
190220,smurf.
228603,smurf.
349659,neptune.
283293,smurf.
285811,smurf.
212441,smurf.
187198,smurf.
330351,smurf.
153240,smurf.
470595,neptune.
122208,neptune.
433257,smurf.
300601,smurf.
464152,neptune.
265108,smurf.
220844,smurf.
264546,smurf.
442414,smurf.
258548,smurf.
184989,smurf.
387374,neptune.
9470,smurf.
254733,smurf.
336546,smurf.
394320,neptune.
248225,smurf.
182120,smurf.
194421,smurf.
119485,neptune.
259532,smurf.
233059,smurf.
403595,smurf.
230400,smurf.
58815,neptune.
132554,smurf.
476889,neptune.
379166,neptune.
178851,smurf.
241310,smurf.
448235,smurf.
270599,smurf.
407557,smurf.
172354,smurf.
151669,smurf.
306279,smurf.
98182,smurf.
195467,smurf.
408869,smurf.
474211,neptune.
417278,smurf.
163565,smurf.
66047,neptune.
462382,neptune.
122022,neptune.
381608,neptune.
270584,smurf.
444851,smurf.
191923,smurf.
121906,neptune.
287342,smurf.
434697,smurf.
335311,smurf.
62381,neptune.
376778,neptune.
306105,smurf.
99706,smurf.
8053,smurf.
177038,smurf.
352633,neptune.
257855,smurf.
286611,smurf.
325006,smurf.
395464,neptune.
205291,smurf.
124232,neptune.
440048,smurf.
365178,neptune.
448223,smurf.
277381,smurf.
333657,smurf.
120212,neptune.
435057,smurf.
296417,smurf.
129196,smurf.
9566,smurf.
291819,smurf.
244380,smurf.
370845,smurf.
358053,neptune.
96122,smurf.
342019,smurf.
299867,smurf.
131968,smurf.
207246,smurf.
291092,smurf.
408811,smurf.
186140,smurf.
302321,smurf.
177013,smurf.
108979,neptune.
276717,smurf.
439385,smurf.
222783,smurf.
326062,smurf.
337821,smurf.
441863,smurf.
237822,smurf.
277425,smurf.
382213,neptune.
314848,smurf.
385473,neptune.
49231,smurf.
271230,smurf.
436100,smurf.
440157,smurf.
374476,neptune.
288505,smurf.
285530,smurf.
356597,neptune.
280659,smurf.
237358,smurf.
223027,smurf.
242112,smurf.
279161,smurf.
72795,neptune.
204738,smurf.
476816,neptune.
117463,neptune.
251756,smurf.
102833,smurf.
262568,smurf.
430541,smurf.
432344,smurf.
309335,smurf.
283677,smurf.
238741,smurf.
315477,smurf.
251538,smurf.
434080,smurf.
287288,smurf.
287329,smurf.
234268,smurf.
427171,smurf.
63236,neptune.
101469,smurf.
246298,smurf.
443082,smurf.
228933,smurf.
360356,neptune.
363717,neptune.
382046,neptune.
133692,smurf.
474641,neptune.
378826,neptune.
293285,smurf.
153697,smurf.
438689,smurf.
267249,smurf.
467437,neptune.
335360,smurf.
280879,smurf.
63162,neptune.
418796,smurf.
361938,neptune.
11158,smurf.
430345,smurf.
292805,smurf.
452353,neptune.
176826,smurf.
397843,smurf.
50019,smurf.
171489,smurf.
161382,smurf.
276020,smurf.
460904,neptune.
468161,neptune.
134621,smurf.
163343,smurf.
152123,smurf.
169055,smurf.
199142,smurf.
232162,smurf.
489129,smurf.
374987,neptune.
432848,smurf.
476167,neptune.
239739,smurf.
397184,smurf.
386615,neptune.
102286,smurf.
362066,neptune.
69166,neptune.
158749,smurf.
329355,smurf.
8073,smurf.
320856,smurf.
171918,smurf.
202538,smurf.
365522,neptune.
243351,smurf.
334013,smurf.
301679,smurf.
436724,smurf.
428421,smurf.
180421,smurf.
430363,smurf.
330513,smurf.
367053,neptune.
417632,smurf.
158339,smurf.
45464,smurf.
215230,smurf.
443548,smurf.
381063,neptune.
487232,smurf.
111377,neptune.
375838,neptune.
118156,neptune.
439581,smurf.
358787,neptune.
136162,smurf.
167045,smurf.
339564,smurf.
10998,smurf.
331360,smurf.
229208,smurf.
178336,smurf.
191413,smurf.
422221,smurf.
154015,smurf.
156557,smurf.
66070,neptune.
11411,smurf.
282314,smurf.
186429,smurf.
475106,neptune.
269016,smurf.
387215,neptune.
328604,smurf.
269335,smurf.
8765,smurf.
399140,smurf.
461171,neptune.
10242,smurf.
159565,smurf.
127245,neptune.
473200,neptune.
66359,neptune.
59890,neptune.
475243,neptune.
109969,neptune.
459978,neptune.
237050,smurf.
319087,smurf.
181142,smurf.
262599,smurf.
111633,neptune.
236097,smurf.
322201,smurf.
261860,smurf.
315738,smurf.
285176,smurf.
221894,smurf.
413370,smurf.
476063,neptune.
150179,smurf.
151642,smurf.
119171,neptune.
72517,neptune.
303991,smurf.
257572,smurf.
155639,smurf.
185055,smurf.
94101,smurf.
319643,smurf.
97014,smurf.
390786,neptune.
378481,neptune.
211423,smurf.
280308,smurf.
254915,smurf.
152667,smurf.
375903,neptune.
43719,smurf.
263039,smurf.
325179,smurf.
298900,smurf.
433699,smurf.
212583,smurf.
364935,neptune.
203271,smurf.
246650,smurf.
189136,smurf.
179033,smurf.
428255,smurf.
182315,smurf.
56398,neptune.
229245,smurf.
417720,smurf.
134706,smurf.
53928,neptune.
294306,smurf.
324948,smurf.
151250,smurf.
438617,smurf.
291601,smurf.
66046,neptune.
383573,neptune.
117135,neptune.
320415,smurf.
448399,smurf.
197038,smurf.
412480,smurf.
216567,smurf.
365889,neptune.
67349,neptune.
438699,smurf.
65596,neptune.
490098,smurf.
254240,smurf.
203404,smurf.
271708,smurf.
206858,smurf.
350635,neptune.
181122,smurf.
351234,neptune.
228972,smurf.
226087,smurf.
50536,smurf.
152325,smurf.
211510,smurf.
393478,neptune.
276978,smurf.
426940,smurf.
334614,smurf.
362691,neptune.
376394,neptune.
339067,smurf.
291183,smurf.
210031,smurf.
60622,neptune.
436611,smurf.
324420,smurf.
47853,smurf.
215633,smurf.
262227,smurf.
115172,neptune.
171527,smurf.
322466,smurf.
460749,neptune.
361667,neptune.
125498,neptune.
273896,smurf.
230181,smurf.
108743,neptune.
112789,neptune.
285431,smurf.
299456,smurf.
252153,smurf.
406856,smurf.
412412,smurf.
355381,neptune.
331464,smurf.
179268,smurf.
430850,smurf.
388968,neptune.
129478,smurf.
123671,neptune.
66557,neptune.
358752,neptune.
414984,smurf.
366350,neptune.
8519,smurf.
286277,smurf.
163787,smurf.
179618,smurf.
64328,neptune.
281849,smurf.
225863,smurf.
257008,smurf.
112792,neptune.
449503,smurf.
405708,smurf.
185069,smurf.
222688,smurf.
473640,neptune.
72351,neptune.
351698,neptune.
302293,smurf.
164322,smurf.
170714,smurf.
62422,neptune.
113870,neptune.
182305,smurf.
339271,smurf.
232659,smurf.
134662,smurf.
113498,neptune.
307059,smurf.
280766,smurf.
43606,smurf.
362146,neptune.
424284,smurf.
390368,neptune.
364785,neptune.
61684,neptune.
113567,neptune.
167714,smurf.
468113,neptune.
305924,smurf.
233899,smurf.
121245,neptune.
340034,smurf.
475615,neptune.
355136,neptune.
477964,neptune.
444463,smurf.
216150,smurf.
224654,smurf.
289950,smurf.
378029,neptune.
156492,smurf.
213876,smurf.
416468,smurf.
471101,neptune.
280347,smurf.
235080,smurf.
152587,smurf.
379825,neptune.
248406,smurf.
434443,smurf.
314595,smurf.
320936,smurf.
59117,neptune.
303255,smurf.
173750,smurf.
183730,smurf.
164931,smurf.
327071,smurf.
155147,smurf.
101484,smurf.
423221,smurf.
233143,smurf.
479807,neptune.
173431,smurf.
124809,neptune.
122691,neptune.
329777,smurf.
263013,smurf.
463707,neptune.
322485,smurf.
131109,smurf.
488078,smurf.
319625,smurf.
402068,smurf.
225422,smurf.
273223,smurf.
259941,smurf.
255017,smurf.
305187,smurf.
318916,smurf.
276439,smurf.
173484,smurf.
339829,smurf.
154802,smurf.
392968,neptune.
272406,smurf.
281541,smurf.
351565,neptune.
45338,smurf.
337700,smurf.
73811,neptune.
282105,smurf.
338722,smurf.
168365,smurf.
134040,smurf.
198277,smurf.
124170,neptune.
73024,neptune.
438580,smurf.
260229,smurf.
333380,smurf.
165442,smurf.
54564,neptune.
361090,neptune.
381051,neptune.
432713,smurf.
431866,smurf.
270808,smurf.
467798,neptune.
397816,smurf.
121823,neptune.
264556,smurf.
206891,smurf.
300686,smurf.
341825,smurf.
171497,smurf.
190795,smurf.
425980,smurf.
364974,neptune.
365520,neptune.
413920,smurf.
239694,smurf.
110821,neptune.
221051,smurf.
392997,neptune.
379446,neptune.
366632,neptune.
397580,smurf.
488756,smurf.
439665,smurf.
356169,neptune.
108765,neptune.
223761,smurf.
157048,smurf.
222653,smurf.
156570,smurf.
10189,smurf.
186632,smurf.
136177,smurf.
428606,smurf.
61147,neptune.
179995,smurf.
196050,smurf.
227159,smurf.
282368,smurf.
358790,neptune.
465053,neptune.
115819,neptune.
173662,smurf.
109273,neptune.
117016,neptune.
236824,smurf.
473194,neptune.
360623,neptune.
66483,neptune.
231392,smurf.
467391,neptune.
184724,smurf.
102924,smurf.
157157,smurf.
471636,neptune.
478695,neptune.
488886,smurf.
396055,neptune.
152779,smurf.
385134,neptune.
356294,neptune.
167682,smurf.
422799,smurf.
70888,neptune.
403420,smurf.
118960,neptune.
379580,neptune.
110298,neptune.
369104,neptune.
297884,smurf.
472532,neptune.
173219,smurf.
332467,smurf.
199045,smurf.
381342,neptune.
63031,neptune.
163976,smurf.
409251,smurf.
246482,smurf.
109812,neptune.
163194,smurf.
390651,neptune.
405121,smurf.
115944,neptune.
94678,smurf.
243002,smurf.
102201,smurf.
181898,smurf.
179728,smurf.
332475,smurf.
384084,neptune.
247947,smurf.
479834,neptune.
221778,smurf.
474668,neptune.
301166,smurf.
271300,smurf.
134446,smurf.
201845,smurf.
133602,smurf.
49397,smurf.
304956,smurf.
488630,smurf.
300422,smurf.
212032,smurf.
318793,smurf.
132494,smurf.
243915,smurf.
354198,neptune.
224072,smurf.
324585,smurf.
460613,neptune.
180346,smurf.
318447,smurf.
304738,smurf.
261355,smurf.
429960,smurf.
61972,neptune.
473932,neptune.
223044,smurf.
463210,neptune.
55349,neptune.
92401,smurf.
353762,neptune.
335580,smurf.
233537,smurf.
438254,smurf.
126826,neptune.
60478,neptune.
208235,smurf.
403723,smurf.
169430,smurf.
10057,smurf.
311451,smurf.
297690,smurf.
462423,neptune.
389183,neptune.
227774,smurf.
133578,smurf.
322296,smurf.
338817,smurf.
73166,neptune.
267939,smurf.
207588,smurf.
442032,smurf.
245447,smurf.
387692,neptune.
322923,smurf.
188328,smurf.
338150,smurf.
440472,smurf.
355224,neptune.
314641,smurf.
321916,smurf.
92413,smurf.
319233,smurf.
164845,smurf.
364590,neptune.
259459,smurf.
441405,smurf.
61787,neptune.
97923,smurf.
163894,smurf.
287634,smurf.
193631,smurf.
162435,smurf.
169081,smurf.
283936,smurf.
195056,smurf.
441922,smurf.
393194,neptune.
243717,smurf.
176964,smurf.
357366,neptune.
422545,smurf.
464243,neptune.
176128,smurf.
220268,smurf.
464502,neptune.
295567,smurf.
280820,smurf.
163671,smurf.
329006,smurf.
199632,smurf.
261191,smurf.
193190,smurf.
445189,smurf.
239017,smurf.
234347,smurf.
205854,smurf.
267197,smurf.
68081,neptune.
214463,smurf.
172357,smurf.
407149,smurf.
389409,neptune.
111248,neptune.
168019,smurf.
374462,neptune.
301499,smurf.
285707,smurf.
487748,smurf.
174404,smurf.
46046,smurf.
304875,smurf.
238970,smurf.
218151,smurf.
262639,smurf.
363049,neptune.
251944,smurf.
475273,neptune.
429048,smurf.
50257,smurf.
234886,smurf.
109730,neptune.
119296,neptune.
60132,neptune.
257041,smurf.
405646,smurf.
443171,smurf.
8185,smurf.
302781,smurf.
411349,smurf.
333179,smurf.
436556,smurf.
296642,smurf.
189871,smurf.
314600,smurf.
242576,smurf.
100834,smurf.
278962,smurf.
319777,smurf.
320847,smurf.
304866,smurf.
209600,smurf.
323410,smurf.
426966,smurf.
443322,smurf.
278722,smurf.
241776,smurf.
180135,smurf.
227746,smurf.
178513,smurf.
369138,neptune.
63105,neptune.
441197,smurf.
487470,smurf.
440714,smurf.
153481,smurf.
92609,smurf.
208755,smurf.
195612,smurf.
336377,smurf.
479667,neptune.
320531,smurf.
380937,neptune.
71604,neptune.
435948,smurf.
425700,smurf.
425807,smurf.
235501,smurf.
422701,smurf.
126964,neptune.
414097,smurf.
265824,smurf.
399446,smurf.
424434,smurf.
321963,smurf.
391501,neptune.
224874,smurf.
364052,neptune.
333838,smurf.
234758,smurf.
427828,smurf.
315560,smurf.
160291,smurf.
388746,neptune.
129485,smurf.
131003,smurf.
356000,neptune.
156709,smurf.
393915,neptune.
329894,smurf.
316772,smurf.
410072,smurf.
153314,smurf.
169706,smurf.
108393,neptune.
412220,smurf.
227624,smurf.
353538,neptune.
479036,neptune.
319453,smurf.
488692,smurf.
96012,smurf.
232050,smurf.
69636,neptune.
429378,smurf.
57076,neptune.
153974,smurf.
222880,smurf.
329307,smurf.
98692,smurf.
406286,smurf.
478789,neptune.
260381,smurf.
108566,neptune.
305474,smurf.
476144,neptune.
156558,smurf.
70372,neptune.
449433,smurf.
283110,smurf.
9754,smurf.
336699,smurf.
390674,neptune.
303775,smurf.
339722,smurf.
207294,smurf.
425170,smurf.
357597,neptune.
404877,smurf.
49580,smurf.
53757,neptune.
68078,neptune.
56160,neptune.
102053,smurf.
214865,smurf.
100561,smurf.
368209,neptune.
330551,smurf.
297718,smurf.
175706,smurf.
248765,smurf.
215740,smurf.
488206,smurf.
223726,smurf.
490632,smurf.
372592,neptune.
416572,smurf.
164800,smurf.
300987,smurf.
111045,neptune.
324160,smurf.
367107,neptune.
280988,smurf.
276380,smurf.
268150,smurf.
252542,smurf.
459868,neptune.
423751,smurf.
342716,smurf.
369127,neptune.
98074,smurf.
135882,smurf.
161220,smurf.
248618,smurf.
442995,smurf.
239788,smurf.
68676,neptune.
278823,smurf.
219448,smurf.
331833,smurf.
234983,smurf.
103340,smurf.
192462,smurf.
410754,smurf.
389798,neptune.
102085,smurf.
395820,neptune.
414663,smurf.
445056,smurf.
342513,smurf.
226902,smurf.
56222,neptune.
258491,smurf.
161690,smurf.
175094,smurf.
324541,smurf.
445340,smurf.
119078,neptune.
235586,smurf.
192333,smurf.
467268,neptune.
314904,smurf.
353693,neptune.
174869,smurf.
465215,neptune.
179868,smurf.
94201,smurf.
185027,smurf.
217407,smurf.
402778,smurf.
330950,smurf.
237235,smurf.
58978,neptune.
264022,smurf.
118341,neptune.
409301,smurf.
407416,smurf.
422742,smurf.
135080,smurf.
246826,smurf.
279681,smurf.
425185,smurf.
368295,neptune.
170796,smurf.
164111,smurf.
424346,smurf.
407755,smurf.
321058,smurf.
184221,smurf.
60956,neptune.
202395,smurf.
443280,smurf.
67709,neptune.
378070,neptune.
251247,smurf.
388871,neptune.
195646,smurf.
234125,smurf.
423613,smurf.
324387,smurf.
394405,neptune.
355330,neptune.
233177,smurf.
11110,smurf.
313667,smurf.
131539,smurf.
275135,smurf.
269347,smurf.
117284,neptune.
65334,neptune.
339960,smurf.
69203,neptune.
159003,smurf.
301563,smurf.
254607,smurf.
472175,neptune.
150338,smurf.
476871,neptune.
430860,smurf.
215628,smurf.
374907,neptune.
280295,smurf.
320454,smurf.
153760,smurf.
131866,smurf.
68713,neptune.
248433,smurf.
263201,smurf.
110280,neptune.
356401,neptune.
45235,smurf.
398511,smurf.
487659,smurf.
184292,smurf.
416039,smurf.
129595,smurf.
195736,smurf.
178598,smurf.
467905,neptune.
249812,smurf.
152895,smurf.
271995,smurf.
124671,neptune.
273811,smurf.
229385,smurf.
222453,smurf.
489866,smurf.
131153,smurf.
402278,smurf.
297289,smurf.
209381,smurf.
378501,neptune.
185920,smurf.
45957,smurf.
117088,neptune.
225287,smurf.
444918,smurf.
275007,smurf.
289050,smurf.
468544,neptune.
442478,smurf.
295981,smurf.
63240,neptune.
134478,smurf.
44300,smurf.
267087,smurf.
318492,smurf.
221264,smurf.
299075,smurf.
361551,neptune.
112885,neptune.
366268,neptune.
405225,smurf.
204114,smurf.
361104,neptune.
262638,smurf.
93848,smurf.
394733,neptune.
250155,smurf.
336563,smurf.
111814,neptune.
101781,smurf.
258441,smurf.
432248,smurf.
155518,smurf.
354270,neptune.
150287,smurf.
402315,smurf.
326221,smurf.
129867,smurf.
63009,neptune.
211609,smurf.
232044,smurf.
64407,neptune.
45051,smurf.
248501,smurf.
98458,smurf.
390881,neptune.
273143,smurf.
179517,smurf.
441679,smurf.
443493,smurf.
48040,smurf.
175880,smurf.
219878,smurf.
212372,smurf.
252969,smurf.
264672,smurf.
231839,smurf.
469162,neptune.
271936,smurf.
271843,smurf.
448850,smurf.
428570,smurf.
46939,smurf.
131411,smurf.
112508,neptune.
127948,neptune.
222339,smurf.
430220,smurf.
57866,neptune.
432598,smurf.
364700,neptune.
46188,smurf.
67787,neptune.
308328,smurf.
207447,smurf.
307168,smurf.
360333,neptune.
271582,smurf.
55419,neptune.
477191,neptune.
249691,smurf.
190658,smurf.
438196,smurf.
410177,smurf.
290231,smurf.
315017,smurf.
306262,smurf.
191105,smurf.
349496,neptune.
303523,smurf.
286778,smurf.
404796,smurf.
168913,smurf.
254319,smurf.
227383,smurf.
108896,neptune.
102703,smurf.
350250,neptune.
164630,smurf.
286460,smurf.
67778,neptune.
73633,neptune.
359102,neptune.
334300,smurf.
125136,neptune.
57323,neptune.
368920,neptune.
323492,smurf.
261953,smurf.
289166,smurf.
474636,neptune.
178130,smurf.
442715,smurf.
328203,smurf.
46734,smurf.
277951,smurf.
184686,smurf.
322804,smurf.
49385,smurf.
150016,smurf.
129609,smurf.
381492,neptune.
351062,neptune.
446478,smurf.
380433,neptune.
409995,smurf.
68562,neptune.
267768,smurf.
402065,smurf.
340450,smurf.
279639,smurf.
235543,smurf.
291489,smurf.
192608,smurf.
459929,neptune.
280716,smurf.
448492,smurf.
387288,neptune.
335840,smurf.
191114,smurf.
386325,neptune.
351428,neptune.
339571,smurf.
205931,smurf.
108829,neptune.
210361,smurf.
229234,smurf.
181899,smurf.
259579,smurf.
354162,neptune.
318618,smurf.
223313,smurf.
200952,smurf.
193124,smurf.
126610,neptune.
305755,smurf.
293798,smurf.
416254,smurf.
328755,smurf.
129597,smurf.
389592,neptune.
373450,neptune.
67494,neptune.
415344,smurf.
261982,smurf.
424232,smurf.
438319,smurf.
322969,smurf.
399832,smurf.
423725,smurf.
417165,smurf.
386981,neptune.
232391,smurf.
464798,neptune.
165843,smurf.
238131,smurf.
420074,smurf.
152244,smurf.
221693,smurf.
466189,neptune.
255263,smurf.
154024,smurf.
211592,smurf.
251962,smurf.
228651,smurf.
406973,smurf.
468994,neptune.
8816,smurf.
179224,smurf.
410737,smurf.
126248,neptune.
231215,smurf.
318876,smurf.
399872,smurf.
202444,smurf.
476213,neptune.
332880,smurf.
221201,smurf.
340826,smurf.
420879,smurf.
376596,neptune.
365153,neptune.
417524,smurf.
132292,smurf.
393202,neptune.
110937,neptune.
270260,smurf.
203638,smurf.
190359,smurf.
468645,neptune.
320146,smurf.
194507,smurf.
366175,neptune.
47925,smurf.
272501,smurf.
265718,smurf.
402116,smurf.
357999,neptune.
351999,neptune.
126194,neptune.
240098,smurf.
66853,neptune.
179317,smurf.
330265,smurf.
386543,neptune.
43596,smurf.
422025,smurf.
471581,neptune.
240020,smurf.
62831,neptune.
47001,smurf.
